Community_District,boro_cd,mean_2013,mean_2014,mean_2015,mean_2016,mean_2017,mean_2018,mean_2019,mean_2020,mean_2021
Financial District,101,29.40 ,35.19 ,29.73 ,25.80 ,22.86 ,21.40 ,14.74 ,14.93 ,12.61 
Greenwich Village and Soho,102,37.24 ,42.27 ,34.38 ,32.85 ,29.38 ,27.17 ,15.83 ,15.85 ,13.98 
Lower East Side and Chinatown,103,28.71 ,34.44 ,28.06 ,27.00 ,23.85 ,20.95 ,13.71 ,14.09 ,12.39 
Clinton and Chelsea,104,32.11 ,37.54 ,30.79 ,26.98 ,23.87 ,22.04 ,15.32 ,14.93 ,15.22 
Midtown,105,43.39 ,47.76 ,40.44 ,29.85 ,26.28 ,23.72 ,17.07 ,16.59 ,13.86 
Stuyvesant Town and Turtle Bay,106,37.39 ,42.32 ,36.38 ,27.43 ,23.85 ,20.53 ,14.55 ,14.47 ,13.64 
Upper West Side,107,33.23 ,37.32 ,30.35 ,22.34 ,19.91 ,19.34 ,13.83 ,13.18 ,11.46 
Upper East Side,108,37.71 ,41.29 ,34.21 ,27.23 ,23.91 ,22.00 ,15.31 ,14.72 ,12.68 
Morningside Heights and Hamilton Heights,109,22.98 ,27.49 ,22.02 ,16.92 ,15.12 ,14.96 ,12.50 ,11.80 ,11.10 
Central Harlem,110,22.36 ,26.93 ,21.43 ,17.22 ,15.36 ,15.06 ,12.79 ,12.13 ,11.69 
East Harlem,111,23.48 ,28.29 ,23.39 ,18.56 ,16.22 ,15.16 ,13.14 ,12.55 ,12.66 
Washington Heights and Inwood,112,21.69 ,25.49 ,20.69 ,16.36 ,14.74 ,15.84 ,13.51 ,12.20 ,13.80 
Mott Haven and Melrose,201,19.53 ,23.85 ,19.90 ,16.34 ,14.28 ,13.26 ,15.43 ,14.69 ,15.77 
Hunts Point and Longwood,202,17.70 ,21.42 ,18.43 ,15.69 ,13.63 ,12.34 ,16.19 ,15.52 ,19.13 
Morrisania and Crotona,203,18.45 ,22.07 ,18.79 ,15.35 ,13.55 ,12.76 ,12.08 ,11.47 ,11.68 
Highbridge and Concourse,204,22.24 ,26.03 ,21.79 ,16.75 ,14.82 ,14.41 ,13.30 ,12.27 ,12.88 
Fordham and University Heights,205,23.67 ,27.09 ,22.81 ,17.32 ,15.41 ,14.84 ,13.42 ,12.28 ,13.62 
Belmont and East Tremont,206,20.23 ,23.41 ,20.03 ,16.53 ,14.62 ,13.69 ,12.36 ,11.56 ,12.14 
Kingsbridge Heights and Bedford,207,20.78 ,23.60 ,20.10 ,15.84 ,14.31 ,14.12 ,11.87 ,11.15 ,10.45 
Riverdale and Fieldston,208,15.09 ,18.54 ,14.98 ,13.11 ,12.00 ,11.93 ,9.93 ,9.52 ,8.52 
Parkchester and Soundview,209,17.88 ,20.86 ,18.79 ,16.63 ,14.32 ,12.69 ,11.37 ,10.90 ,12.08 
Throgs Neck and Co-op City,210,16.91 ,19.07 ,18.22 ,16.14 ,13.68 ,11.04 ,11.04 ,10.51 ,10.42 
Morris Park and Bronxdale,211,15.75 ,18.35 ,16.50 ,14.21 ,12.56 ,11.40 ,10.16 ,9.81 ,10.43 
Williamsbridge and Baychester,212,14.99 ,17.65 ,15.89 ,14.13 ,12.65 ,11.26 ,10.10 ,9.70 ,9.42 
Greenpoint and Williamsburg,301,18.58 ,24.60 ,20.46 ,20.06 ,17.34 ,16.31 ,19.94 ,20.88 ,23.81 
Fort Greene and Brooklyn Heights,302,21.37 ,27.32 ,23.25 ,22.95 ,20.01 ,18.28 ,13.24 ,13.80 ,13.82 
Bedford Stuyvesant,303,16.85 ,22.45 ,19.48 ,19.03 ,16.37 ,15.95 ,11.82 ,12.75 ,13.50 
Bushwick,304,16.90 ,22.22 ,18.91 ,18.54 ,15.75 ,15.17 ,12.91 ,14.02 ,13.07 
East New York and Starrett City,305,16.56 ,20.83 ,18.69 ,18.08 ,14.62 ,13.28 ,10.91 ,11.95 ,12.07 
Park Slope and Carroll Gardens,306,17.65 ,23.20 ,19.78 ,19.42 ,17.01 ,15.73 ,15.09 ,15.52 ,14.66 
Sunset Park,307,16.78 ,21.51 ,18.66 ,18.21 ,15.79 ,14.57 ,14.55 ,14.64 ,16.21 
