Community_District,boro_cd,mean_2013,mean_2014,mean_2015,mean_2016,mean_2017,mean_2018,mean_2019,mean_2020,mean_2021
Financial District,101,11.06 ,11.37 ,10.57 ,9.56 ,9.04 ,8.97 ,8.42 ,7.52 ,7.66 
Greenwich Village and Soho,102,10.90 ,11.23 ,10.61 ,9.53 ,9.04 ,8.86 ,9.94 ,8.54 ,8.47 
Lower East Side and Chinatown,103,9.90 ,10.31 ,9.95 ,8.90 ,8.40 ,7.93 ,8.67 ,7.51 ,7.61 
Clinton and Chelsea,104,11.39 ,11.62 ,10.91 ,9.76 ,9.36 ,9.14 ,9.32 ,7.96 ,8.07 
Midtown,105,14.26 ,14.19 ,12.28 ,11.34 ,10.92 ,11.45 ,11.53 ,9.24 ,8.95 
Stuyvesant Town and Turtle Bay,106,12.25 ,12.37 ,11.21 ,10.21 ,9.77 ,9.49 ,9.36 ,7.79 ,7.86 
Upper West Side,107,10.35 ,10.42 ,9.77 ,8.49 ,8.33 ,8.16 ,7.38 ,6.35 ,6.79 
Upper East Side,108,11.13 ,11.18 ,10.22 ,9.10 ,8.87 ,8.70 ,8.03 ,6.73 ,7.03 
Morningside Heights and Hamilton Heights,109,9.75 ,9.77 ,9.44 ,8.01 ,7.97 ,7.52 ,6.93 ,6.30 ,6.79 
Central Harlem,110,9.64 ,9.67 ,9.29 ,7.89 ,7.88 ,7.50 ,6.97 ,6.36 ,6.77 
East Harlem,111,9.71 ,9.82 ,9.50 ,8.17 ,8.09 ,7.39 ,7.13 ,6.38 ,6.79 
Washington Heights and Inwood,112,9.46 ,9.46 ,9.36 ,7.79 ,7.77 ,7.32 ,7.17 ,6.28 ,6.88 
Mott Haven and Melrose,201,9.97 ,10.11 ,9.93 ,8.55 ,8.54 ,8.05 ,7.69 ,6.30 ,6.84 
Hunts Point and Longwood,202,9.76 ,9.96 ,9.85 ,8.49 ,8.49 ,8.12 ,7.82 ,6.56 ,7.29 
Morrisania and Crotona,203,9.40 ,9.49 ,9.30 ,7.85 ,7.87 ,7.45 ,6.91 ,6.22 ,6.70 
Highbridge and Concourse,204,9.97 ,9.99 ,9.72 ,8.25 ,8.25 ,7.73 ,7.24 ,6.12 ,6.65 
Fordham and University Heights,205,10.05 ,10.07 ,9.85 ,8.34 ,8.30 ,7.68 ,7.29 ,6.21 ,6.76 
Belmont and East Tremont,206,9.46 ,9.56 ,9.45 ,7.96 ,7.94 ,7.37 ,7.15 ,6.32 ,6.80 
Kingsbridge Heights and Bedford,207,9.40 ,9.48 ,9.34 ,7.78 ,7.73 ,7.38 ,6.78 ,6.05 ,6.64 
Riverdale and Fieldston,208,8.87 ,9.00 ,9.16 ,7.49 ,7.40 ,6.95 ,6.68 ,5.87 ,6.55 
