Community_District,boro_cd,mean_2013,mean_2014,mean_2015,mean_2016,mean_2017,mean_2018,mean_2019,mean_2020,mean_2021
Financial District,101,30.28 ,28.91 ,26.70 ,26.27 ,25.94 ,25.32 ,24.30 ,21.70 ,21.61 
Greenwich Village and Soho,102,29.27 ,28.08 ,26.31 ,25.94 ,25.68 ,24.77 ,23.44 ,21.26 ,21.21 
Lower East Side and Chinatown,103,26.63 ,25.72 ,24.30 ,24.00 ,23.65 ,22.40 ,21.24 ,19.36 ,19.29 
Clinton and Chelsea,104,30.56 ,29.23 ,27.25 ,26.68 ,26.64 ,25.71 ,24.60 ,22.53 ,22.28 
Midtown,105,38.71 ,37.06 ,32.91 ,31.64 ,32.00 ,31.10 ,28.53 ,26.27 ,25.23 
Stuyvesant Town and Turtle Bay,106,33.37 ,32.20 ,29.29 ,28.40 ,28.44 ,26.65 ,24.48 ,22.65 ,22.13 
Upper West Side,107,26.48 ,25.10 ,23.85 ,23.15 ,23.39 ,22.19 ,20.82 ,19.63 ,19.19 
Upper East Side,108,28.73 ,27.75 ,25.77 ,24.91 ,25.14 ,23.51 ,22.19 ,20.95 ,20.37 
Morningside Heights and Hamilton Heights,109,25.22 ,23.55 ,22.95 ,22.00 ,22.44 ,21.51 ,19.22 ,18.65 ,17.96 
Central Harlem,110,25.43 ,23.97 ,23.25 ,22.27 ,22.74 ,21.72 ,19.80 ,19.13 ,18.31 
East Harlem,111,24.66 ,23.65 ,22.90 ,22.09 ,22.33 ,20.88 ,19.41 ,18.78 ,18.26 
Washington Heights and Inwood,112,22.25 ,20.60 ,20.72 ,19.36 ,20.14 ,19.34 ,16.87 ,17.94 ,16.91 
Mott Haven and Melrose,201,22.94 ,22.12 ,21.80 ,20.84 ,21.25 ,21.17 ,19.67 ,19.14 ,18.75 
Hunts Point and Longwood,202,21.27 ,21.02 ,20.85 ,19.79 ,20.30 ,20.45 ,19.04 ,18.77 ,19.31 
Morrisania and Crotona,203,22.32 ,21.57 ,21.37 ,20.07 ,20.78 ,19.82 ,17.78 ,18.08 ,17.32 
Highbridge and Concourse,204,23.99 ,22.70 ,22.44 ,21.21 ,21.80 ,20.92 ,18.72 ,19.05 ,18.11 
Fordham and University Heights,205,23.95 ,22.74 ,22.70 ,21.18 ,21.96 ,20.54 ,18.21 ,19.15 ,18.12 
Belmont and East Tremont,206,21.92 ,21.36 ,21.41 ,19.86 ,20.72 ,19.18 ,17.07 ,18.18 ,17.36 
Kingsbridge Heights and Bedford,207,21.49 ,20.73 ,20.94 ,19.15 ,20.30 ,18.43 ,16.23 ,17.86 ,16.86 
Riverdale and Fieldston,208,18.24 ,17.14 ,17.83 ,16.04 ,17.30 ,15.77 ,13.48 ,15.83 ,14.70 
Parkchester and Soundview,209,19.95 ,20.20 ,20.12 ,18.81 ,19.49 ,17.94 ,16.39 ,16.87 ,16.64 
Throgs Neck and Co-op City,210,17.44 ,18.54 ,18.76 ,17.23 ,18.07 ,15.84 ,14.61 ,15.54 ,15.39 
Morris Park and Bronxdale,211,18.97 ,19.37 ,19.63 ,17.91 ,19.04 ,17.08 ,15.46 ,16.80 ,16.29 
Williamsbridge and Baychester,212,17.96 ,18.34 ,18.97 ,16.93 ,18.35 ,15.81 ,14.19 ,16.48 ,15.64 
