Community_District,boro_cd,mean_2013,mean_2014,mean_2015,mean_2016,mean_2017,mean_2018,mean_2019,mean_2020,mean_2021
Financial District,101,24.41 ,26.10 ,27.06 ,29.81 ,24.81 ,26.03 ,24.82 ,27.87 ,28.05 
Greenwich Village and Soho,102,25.09 ,26.46 ,27.21 ,29.87 ,25.06 ,26.21 ,24.93 ,28.54 ,27.87 
Lower East Side and Chinatown,103,26.10 ,27.34 ,28.00 ,30.41 ,25.91 ,27.12 ,25.88 ,28.97 ,28.37 
Clinton and Chelsea,104,25.09 ,26.12 ,27.11 ,29.76 ,24.57 ,25.87 ,24.40 ,28.42 ,27.28 
Midtown,105,20.67 ,21.79 ,24.30 ,26.92 ,21.32 ,22.91 ,23.05 ,26.94 ,26.86 
Stuyvesant Town and Turtle Bay,106,23.11 ,24.05 ,25.84 ,28.23 ,23.14 ,24.92 ,24.56 ,28.13 ,27.20 
Upper West Side,107,26.92 ,27.40 ,28.13 ,30.55 ,25.57 ,27.19 ,25.57 ,29.00 ,27.81 
Upper East Side,108,26.24 ,26.60 ,28.01 ,30.12 ,25.17 ,26.92 ,25.85 ,29.28 ,27.81 
Morningside Heights and Hamilton Heights,109,28.29 ,28.54 ,28.77 ,31.29 ,26.35 ,28.29 ,26.99 ,29.42 ,28.61 
Central Harlem,110,28.50 ,28.65 ,29.07 ,31.42 ,26.65 ,28.61 ,27.30 ,29.62 ,28.57 
East Harlem,111,28.92 ,28.97 ,29.61 ,31.66 ,26.93 ,28.83 ,27.47 ,30.13 ,28.33 
Washington Heights and Inwood,112,29.50 ,29.67 ,28.95 ,32.01 ,27.00 ,29.02 ,27.79 ,28.66 ,27.64 
Mott Haven and Melrose,201,30.57 ,30.46 ,30.79 ,32.81 ,28.42 ,29.70 ,28.47 ,30.55 ,28.78 
Hunts Point and Longwood,202,31.87 ,31.65 ,31.83 ,33.74 ,29.69 ,30.73 ,29.73 ,31.52 ,29.13 
Morrisania and Crotona,203,30.43 ,30.31 ,30.24 ,32.58 ,28.28 ,30.13 ,29.20 ,30.60 ,29.44 
Highbridge and Concourse,204,29.73 ,29.76 ,29.68 ,32.20 ,27.48 ,29.53 ,28.49 ,29.89 ,28.92 
Fordham and University Heights,205,29.66 ,29.69 ,29.15 ,32.06 ,27.24 ,29.66 ,28.72 ,29.67 ,28.87 
Belmont and East Tremont,206,30.47 ,30.34 ,29.80 ,32.50 ,28.12 ,30.30 ,29.49 ,30.44 ,29.52 
Kingsbridge Heights and Bedford,207,30.30 ,30.26 ,29.20 ,32.46 ,27.73 ,30.16 ,29.23 ,29.81 ,29.84 
Riverdale and Fieldston,208,30.42 ,30.51 ,28.79 ,32.52 ,27.70 ,29.97 ,28.62 ,28.72 ,29.14 
Parkchester and Soundview,209,31.54 ,31.34 ,31.19 ,33.25 ,29.33 ,31.07 ,30.33 ,31.72 ,29.70 
Throgs Neck and Co-op City,210,32.57 ,32.50 ,31.68 ,34.00 ,30.23 ,32.04 ,31.45 ,32.41 ,30.72 
Morris Park and Bronxdale,211,31.59 ,31.37 ,30.48 ,33.21 ,29.23 ,31.11 ,30.31 ,31.33 ,30.32 
Williamsbridge and Baychester,212,31.61 ,31.44 ,29.75 ,33.19 ,28.93 ,31.14 ,30.16 ,30.49 ,30.31 
Greenpoint and Williamsburg,301,29.77 ,30.48 ,31.01 ,32.99 ,29.07 ,28.94 ,27.86 ,29.57 ,27.78 
Fort Greene and Brooklyn Heights,302,27.62 ,28.90 ,29.39 ,31.63 ,27.57 ,28.47 ,27.51 ,28.93 ,28.58 
Bedford Stuyvesant,303,29.07 ,29.89 ,30.64 ,32.55 ,28.87 ,29.68 ,29.57 ,29.28 ,29.61 
Bushwick,304,30.37 ,30.98 ,31.66 ,33.47 ,29.93 ,30.55 ,30.49 ,29.65 ,30.39 
East New York and Starrett City,305,31.88 ,32.30 ,32.92 ,34.57 ,31.20 ,31.99 ,32.99 ,29.56 ,31.31 
Park Slope and Carroll Gardens,306,28.35 ,29.68 ,30.03 ,32.27 ,28.26 ,28.60 ,27.60 ,28.70 ,28.93 
Sunset Park,307,29.59 ,30.55 ,31.20 ,33.19 ,29.19 ,29.43 ,28.78 ,28.86 ,28.94 
Crown Heights and Prospect Heights,308,29.02 ,29.83 ,30.67 ,32.54 ,28.88 ,29.70 ,29.74 ,29.08 ,29.91 
South Crown Heights and Lefferts Gardens,309,29.62 ,30.26 ,31.24 ,32.98 ,29.41 ,30.34 ,30.57 ,29.33 ,30.63 
Bay Ridge and Dyker Heights,310,30.29 ,30.66 ,31.77 ,33.51 ,29.20 ,30.10 ,29.74 ,29.22 ,29.65 
Bensonhurst,311,32.00 ,31.52 ,33.38 ,34.51 ,30.53 ,31.33 ,31.62 ,30.22 ,31.17 
Borough Park,312,30.40 ,30.60 ,31.98 ,33.45 ,29.63 ,30.30 ,30.39 ,29.34 ,30.41 
Coney Island,313,34.64 ,33.22 ,35.76 ,36.33 ,32.41 ,32.96 ,33.61 ,31.56 ,32.37 
Flatbush and Midwood,314,30.75 ,30.73 ,32.26 ,33.56 ,29.93 ,30.73 ,31.14 ,29.23 ,30.43 
Sheepshead Bay,315,33.64 ,32.40 ,34.76 ,35.37 ,31.68 ,32.35 ,33.29 ,30.57 ,31.81 
Brownsville,316,30.74 ,31.19 ,32.07 ,33.74 ,30.27 ,30.95 ,31.63 ,29.22 ,30.81 
East Flatbush,317,31.02 ,31.23 ,32.39 ,33.88 ,30.39 ,31.17 ,31.81 ,29.54 ,31.04 
Flatlands and Canarsie,318,33.65 ,33.12 ,34.66 ,35.71 ,32.38 ,32.91 ,33.98 ,30.38 ,32.24 
Long Island City and Astoria,401,31.21 ,31.14 ,31.83 ,33.44 ,29.47 ,30.49 ,29.41 ,31.83 ,30.39 
Woodside and Sunnyside,402,30.71 ,30.95 ,31.65 ,33.37 ,29.49 ,29.70 ,28.58 ,30.55 ,28.03 
Jackson Heights,403,30.74 ,30.81 ,31.53 ,32.97 ,29.34 ,30.65 ,30.34 ,31.61 ,30.45 
Elmhurst and Corona,404,30.21 ,30.50 ,31.23 ,32.75 ,29.18 ,30.49 ,30.62 ,30.98 ,30.30 
Ridgewood and Maspeth,405,31.08 ,31.54 ,32.08 ,33.76 ,30.29 ,30.92 ,30.94 ,30.21 ,29.68 
Rego Park and Forest Hills,406,29.99 ,30.64 ,31.08 ,32.70 ,29.24 ,30.39 ,31.03 ,29.99 ,30.23 
Flushing and Whitestone,407,31.46 ,32.01 ,31.92 ,33.48 ,30.28 ,31.29 ,31.28 ,31.56 ,30.77 
Hillcrest and Fresh Meadows,408,30.38 ,31.68 ,31.30 ,32.98 ,29.95 ,30.69 ,31.63 ,29.87 ,30.29 
Kew Gardens and Woodhaven,409,30.81 ,31.71 ,31.80 ,33.58 ,30.39 ,31.21 ,32.37 ,29.56 ,31.09 
South Ozone Park and Howard Beach,410,32.27 ,33.05 ,33.12 ,34.86 ,31.69 ,32.41 ,33.94 ,29.84 ,32.38 
Bayside and Little Neck,411,30.83 ,32.27 ,31.36 ,33.06 ,30.32 ,31.09 ,31.78 ,30.66 ,30.34 
Jamaica and Hollis,412,31.27 ,32.84 ,32.18 ,34.03 ,31.12 ,31.46 ,33.07 ,29.45 ,31.41 
Queens Village,413,31.93 ,33.72 ,32.64 ,34.43 ,31.85 ,31.94 ,33.58 ,30.02 ,31.35 
Rockaway and Broad Channel,414,36.93 ,36.31 ,37.54 ,38.26 ,35.30 ,35.29 ,37.53 ,31.59 ,34.88 
St. George and Stapleton,501,29.18 ,30.32 ,30.39 ,33.40 ,27.50 ,28.83 ,27.76 ,27.39 ,28.61 
South Beach and Willowbrook,502,31.28 ,31.61 ,32.47 ,35.11 ,28.74 ,30.00 ,29.51 ,28.29 ,29.43 
Tottenville and Great Kills,503,32.64 ,31.89 ,34.09 ,36.19 ,28.81 ,30.23 ,30.04 ,29.67 ,30.23 
